name,id,source_folder,source_type,is_pure_music,avg_overall_score,avg_melody_perception,avg_melody_emotion,avg_arrangement_perception,avg_arrangement_emotion,avg_rhythm_perception,avg_structure_perception,avg_performance_and_singing_mood,avg_enunciation_and_singing_skill,avg_performance_skill,avg_sound_effect_perception,__row_id,mood
014 - Bob Dylan - Blowin' In The Wind (1963).mp3,6401,douyin4,internet,FALSE,3.8181818181818183,4,4,3.3181818181818183,3.772727272727273,3.5,3.5,4.181818181818182,3.5,3.8636363636363638,0,13,peaceful
015 - The Clash - London Calling (1980).mp3,403,douyin12,internet,FALSE,3.95,3.85,4.1,3.9,4.25,4.15,3.8,4.3,3.6,3.95,2.9375,14,passionable
016 - The Beatles - I Want To Hold Your Hand (1963).mp3,9602,douyin8,internet,FALSE,4.1,4.25,4.3,3.9,4.15,4.2,4.1,4.3,4.1,3.95,0,15,happy | passionable
017 - Jimi Hendrix - Purple Haze (1967).mp3,4202,douyin3,internet,FALSE,3.7142857142857144,3.2857142857142856,3.7857142857142856,3.7857142857142856,3.857142857142857,3.7142857142857144,3.5,3.857142857142857,3.5,4,3.25,16,passionable
018 - Chuck Berry - Maybellene (1955).mp3,9803,douyin9,internet,FALSE,4.009090909090909,3.8181818181818183,3.9545454545454546,3.8636363636363638,4.090909090909091,4.318181818181818,3.727272727272727,4.363636363636363,4.045454545454546,4.181818181818182,0,17,passionable | happy
019 - Elvis Presley - Hound Dog (1956).mp3,9401,douyin7,internet,FALSE,3.7,3.5,3.9,3.6,3.95,4.15,3.3,4.2,4.05,3.75,0,18,passionable | happy
020 - The Beatles - Let It Be (1970).mp3,801,douyin14,internet,FALSE,4.090909090909091,4.2727272727272725,4.363636363636363,4,4.136363636363637,3.8181818181818183,4.090909090909091,4,4,3.9545454545454546,0,19,peaceful
021 - Bruce Springsteen - Born To Run (1975).mp3,6402,douyin4,internet,FALSE,4,3.909090909090909,3.909090909090909,4,4.045454545454546,4,3.8181818181818183,4.045454545454546,3.909090909090909,3.9545454545454546,0,20,passionable
022 - The Ronettes - Be My Baby (1963).mp3,9402,douyin7,internet,FALSE,4.13,4.2,4.25,4.1,4,4.35,3.9,4.2,4.05,3.95,0,21,passionable | happy
023 - The Beatles - In My Life (1965).mp3,8203,douyin5,internet,FALSE,4.1,4.05,4.05,4,3.9,3.9,4,4,4,3.95,4.142857142857143,22,peaceful
024 - The Impressions - People Get Ready (1965).mp3,9804,douyin9,internet,FALSE,4.090909090909091,4.2272727272727275,4.318181818181818,3.9545454545454546,4.181818181818182,3.909090909090909,3.6818181818181817,4.5,4.318181818181818,3.9545454545454546,0,23,peaceful
025 - The Beach Boys - God Only Knows (1966).mp3,404,douyin12,internet,FALSE,3.95,3.9,4,4.25,3.95,3.7,3.85,3.9,3.9,4.05,0,24,peaceful
026 - The Beatles - A Day In The Life (1967).mp3,4203,douyin3,internet,FALSE,4.214285714285714,4.142857142857143,4.214285714285714,4.5,4.357142857142857,4.142857142857143,4.428571428571429,4.285714285714286,4.071428571428571,4.142857142857143,4.428571428571429,25,nervous | sad
027 - Derek & The Dominos - Layla (1970).mp3,1001,douyin15,internet,FALSE,4.045454545454546,3.9545454545454546,4.045454545454546,4.045454545454546,4.090909090909091,4.136363636363637,4.045454545454546,4.136363636363637,4,4.045454545454546,0,26,passionable
028 - Otis Redding - (Sittin' On) The Dock Of The Bay (1968).mp3,201,douyin11,internet,FALSE,4.2,4.090909090909091,4.2727272727272725,3.909090909090909,4.136363636363637,3.8181818181818183,3.9545454545454546,4.2272727272727275,4.2272727272727275,4.136363636363637,4.277777777777778,27,peaceful | sad
029 - The Beatles - Help! (1965).mp3,6403,douyin4,internet,FALSE,3.909090909090909,4.090909090909091,3.9545454545454546,3.8636363636363638,3.772727272727273,3.8636363636363638,4.045454545454546,4,4,3.9545454545454546,0,28,passionable
030 - Johnny Cash - I Walk The Line (1956).mp3,9805,douyin9,internet,FALSE,4.027272727272727,3.8636363636363638,4.045454545454546,3.6818181818181817,3.9545454545454546,4.2727272727272725,3.5454545454545454,4.363636363636363,4.181818181818182,3.909090909090909,0,29,peaceful
031 - Led Zeppelin - Stairway to Heaven (1971).mp3,4204,douyin3,internet,FALSE,4.285714285714286,4.357142857142857,4.285714285714286,4.071428571428571,4.285714285714286,4.142857142857143,4.357142857142857,4.071428571428571,3.9285714285714284,4.142857142857143,0,30,peaceful | passionable
033 - Ike & Tina Turner - River Deep Mountain High (1966).mp3,1002,douyin15,internet,FALSE,4.045454545454546,4.136363636363637,4.2727272727272725,4.2727272727272725,4.363636363636363,4,4.045454545454546,4.5,4.2727272727272725,4.136363636363637,0,31,passionable
034 - The Righteous Brothers - You've Lost That Lovin' Feeling (1964).mp3,6404,douyin4,internet,FALSE,3.772727272727273,3.8636363636363638,4.045454545454546,3.727272727272727,3.909090909090909,3.5454545454545454,3.8636363636363638,4.045454545454546,3.727272727272727,3.727272727272727,0,32,sad | passionable
035 - The Doors - Light My Fire (1967).mp3,2001,douyin2,internet,FALSE,3.590909090909091,3.8181818181818183,3.6818181818181817,3.55,3.590909090909091,3.772727272727273,3.5,3.772727272727273,3.727272727272727,3.8181818181818183,0,33,passionable
036 - U2 - One (1991).mp3,4205,douyin3,internet,FALSE,3.957142857142857,4,4.071428571428571,3.857142857142857,4,3.642857142857143,4,4.142857142857143,4.142857142857143,3.7857142857142856,3.625,34,passionable | sad
"037 - Bob Marley & The Wailers - No Woman, No Cry (1975).mp3",202,douyin11,internet,FALSE,3.772727272727273,3.8181818181818183,3.9545454545454546,3.5454545454545454,3.6818181818181817,3.8181818181818183,3.5454545454545454,4,3.5,3.590909090909091,0,35,peaceful
038 - The Rolling Stones - Gimme Shelter (1969).mp3,1003,douyin15,internet,FALSE,3.9545454545454546,3.6818181818181817,4,3.909090909090909,4.090909090909091,3.909090909090909,3.727272727272727,4.136363636363637,4,3.9545454545454546,0,36,passionable
039 - Buddy Holly & The Crickets - That'll Be The Day (1957).mp3,802,douyin14,internet,FALSE,3.909090909090909,3.9545454545454546,3.8636363636363638,3.727272727272727,3.9545454545454546,4,3.8181818181818183,4.136363636363637,4.090909090909091,3.9545454545454546,0,37,happy | passionable
040 - Martha Reeves & The Vandellas - Dancing In The Street (1964).mp3,601,douyin13,internet,FALSE,3.7,3.6,3.85,3.7,3.75,3.95,3.4,4,3.9,3.7,0,38,passionable | happy
041 - The Band - The Weight (1968).mp3,6405,douyin4,internet,FALSE,4,3.909090909090909,4.045454545454546,4,3.9545454545454546,4,3.772727272727273,4.181818181818182,4.045454545454546,4.090909090909091,0,39,peaceful
042 - The Kinks - Waterloo Sunset (1968).mp3,203,douyin11,internet,FALSE,4.045454545454546,4.181818181818182,4.090909090909091,3.8636363636363638,3.909090909090909,3.6363636363636362,3.727272727272727,3.9545454545454546,3.8181818181818183,3.8181818181818183,0,40,peaceful
043 - Little Richard - Tutti Frutti (1955).mp3,9205,douyin6,internet,FALSE,4.181818181818182,3.909090909090909,4.2272727272727275,3.8636363636363638,4.181818181818182,4.2727272727272725,3.6818181818181817,4.409090909090909,4.2727272727272725,4,0,41,happy | passionable
044 - Ray Charles - Georgia On My Mind (1960).mp3,6406,douyin4,internet,FALSE,4.045454545454546,4.045454545454546,4.090909090909091,4,4.090909090909091,3.9545454545454546,3.8636363636363638,4.136363636363637,4.181818181818182,4.181818181818182,0,42,peaceful | sad
045 - Elvis Presley - Heartbreak Hotel (1956).mp3,204,douyin11,internet,FALSE,3.8636363636363638,3.6818181818181817,4,3.5454545454545454,3.9545454545454546,3.590909090909091,3.4545454545454546,4.090909090909091,4.136363636363637,3.909090909090909,0,43,sad
046 - David Bowie - Heroes (1977).mp3,9206,douyin6,internet,FALSE,3.9545454545454546,3.909090909090909,4.045454545454546,4.045454545454546,4.090909090909091,3.590909090909091,3.8181818181818183,4.136363636363637,4.045454545454546,4,3.5555555555555554,44,passionable
047 - Simon & Garfunkel - Bridge Over Troubled Water (1970).mp3,6407,douyin4,internet,FALSE,4.090909090909091,4.181818181818182,4.090909090909091,4.35,4.2,3.6363636363636362,4,4.2272727272727275,4.2272727272727275,4.045454545454546,0,45,peaceful
048 - Jimi Hendrix - All Along The Watchtower (1968).mp3,4206,douyin3,internet,FALSE,4.071428571428571,3.857142857142857,3.7857142857142856,4.071428571428571,4,3.9285714285714284,3.857142857142857,4.214285714285714,3.7142857142857144,4.285714285714286,4,46,passionable | nervous
049 - The Eagles - Hotel California (1976).mp3,405,douyin12,internet,FALSE,3.95,3.9,4,3.85,3.95,3.95,3.85,3.85,4,4.1,0,47,happy
050 - Smokey Robinson & The Miracles - The Tracks Of My Tears (1965).mp3,205,douyin11,internet,FALSE,4.136363636363637,4.136363636363637,4.2272727272727275,4.181818181818182,4.181818181818182,4,4,4.409090909090909,4.2727272727272725,4.136363636363637,0,48,sad
051 - Grandmaster Flash & The Furious Five - The Message (1982).mp3,206,douyin11,internet,FALSE,3.8636363636363638,3.4545454545454546,3.909090909090909,3.772727272727273,3.8636363636363638,3.909090909090909,3.6363636363636362,4.136363636363637,4,3.772727272727273,3.7222222222222223,49,nervous
052 - Prince - When Doves Cry (1984).mp3,9403,douyin7,internet,FALSE,4.05,4.15,4.25,4.2,4.2,4,3.9,4.35,4.2,4.2,3.35,50,passionable | sad
054 - Percy Sledge - When A Man Loves A Woman (1966).mp3,602,douyin13,internet,FALSE,4.05,3.95,4.1,3.9,4,3.75,3.65,4.2,4.1,4,0,51,passionable | sad
055 - The Kingsmen - Louie Louie (1963).mp3,2,douyin10,internet,FALSE,3.65,3.45,3.6,3.6,3.75,3.7,3.4,3.9,3.5,3.65,0,52,passionable
056 - Little Richard - Long Tall Sally (1956).mp3,8204,douyin5,internet,FALSE,4.05,3.9,3.95,4,4,4.25,3.85,4.25,4.15,4.05,0,53,happy | passionable
057 - Procol Harum - A Whiter Shade Of Pale (1967).mp3,1004,douyin15,internet,FALSE,3.936363636363636,3.8181818181818183,3.8636363636363638,3.909090909090909,3.8181818181818183,3.409090909090909,3.8181818181818183,4.090909090909091,3.9545454545454546,3.909090909090909,0,54,sad | peaceful
058 - Michael Jackson - Billie Jean (1983).mp3,8205,douyin5,internet,FALSE,4.4,4.35,4.4,4.5,4.35,4.45,4.3,4.35,4.45,4.4,4.222222222222222,55,passionable
059 - Bob Dylan - The Times They are A-Changin' (1964).mp3,4207,douyin3,internet,FALSE,3.5714285714285716,3.357142857142857,3.9285714285714284,3,3.642857142857143,3.2142857142857144,3,4.071428571428571,3.4285714285714284,3.7142857142857144,0,56,passionable
060 - Al Green - Let's Stay Together (1971).mp3,6408,douyin4,internet,FALSE,4.090909090909091,4,4.181818181818182,4,4.090909090909091,4,3.909090909090909,4.181818181818182,4.2727272727272725,4.045454545454546,0,57,peaceful | happy
061 - Jerry Lee Lewis - Whole Lotta Shakin' Goin' On (1957).mp3,9603,douyin8,internet,FALSE,3.9,3.5,3.95,3.85,4,4,3.8,4.25,3.95,4.05,0,58,happy | passionable
062 - Bo Diddley - Bo Diddley (1955).mp3,6409,douyin4,internet,FALSE,3.5,3.3181818181818183,3.590909090909091,3.5454545454545454,3.590909090909091,3.6818181818181817,3.3181818181818183,3.772727272727273,3.6363636363636362,3.8636363636363638,0,59,passionable
065 - Cream - Sunshine Of Your Love (1968).mp3,8206,douyin5,internet,FALSE,4.05,4.05,3.8,3.8,3.8,4.05,3.9,3.9,3.85,3.95,3.9,60,passionable
067 - Elvis Presley - Jailhouse Rock (1957).mp3,1005,douyin15,internet,FALSE,4.081818181818182,3.8636363636363638,4.090909090909091,4.045454545454546,4.136363636363637,4.318181818181818,3.727272727272727,4.5,4.136363636363637,3.909090909090909,0,61,passionable | happy
068 - Bob Dylan - Tangled Up In Blue (1975).mp3,406,douyin12,internet,FALSE,3.8,3.6,3.9,3.7,3.9,3.95,3.5,3.95,3.75,3.9,0,62,sad
070 - Dionne Warwick - Walk On By (1964).mp3,9207,douyin6,internet,FALSE,4.136363636363637,4.090909090909091,4.181818181818182,4.090909090909091,4.136363636363637,3.909090909090909,4.090909090909091,4.2272727272727275,4.136363636363637,4.090909090909091,0,63,sad
071 - The Beach Boys - California Girls (1965).mp3,9806,douyin9,internet,FALSE,4.181818181818182,4.2272727272727275,4.2272727272727275,4.2272727272727275,4.2272727272727275,4,4.136363636363637,4.318181818181818,4.318181818181818,4,0,64,happy
072 - James Brown - Papa's Got A Brand New Bag (1966).mp3,9404,douyin7,internet,FALSE,4.16,3.75,4.05,4.3,4.25,4.5,3.7,4.55,4.2,4.3,0,65,passionable | happy
073 - Eddie Cochran - Summertime Blues (1958).mp3,8207,douyin5,internet,FALSE,3.85,3.85,3.8,3.75,3.9,4.1,3.9,4.05,3.95,3.95,0,66,passionable
074 - Stevie Wonder - Superstition (1972).mp3,603,douyin13,internet,FALSE,4.3,4.1,4.25,4.35,4.2,4.3,4.1,4.4,4.4,4.5,0,67,passionable
076 - The Beatles - Strawberry Fields Forever (1967).mp3,9405,douyin7,internet,FALSE,4.3,4.4,4.4,4.5,4.35,4.2,4.4,4.45,4,4.35,4.3,68,nervous | peaceful
077 - Elvis Presley - Mystery Train (1955).mp3,407,douyin12,internet,FALSE,3.7,3.45,3.75,3.6,3.7,3.75,3.45,3.85,3.8,3.75,0,69,passionable
078 - James Brown - I Got You (I Feel Good) (1965).mp3,207,douyin11,internet,FALSE,4.409090909090909,4.136363636363637,4.454545454545454,4.409090909090909,4.409090909090909,4.545454545454546,4,4.545454545454546,4.363636363636363,4.363636363636363,0,70,happy | passionable
079 - The Byrds - Mr. Tambourine Man (1965).mp3,208,douyin11,internet,FALSE,3.9545454545454546,4.090909090909091,4.045454545454546,3.909090909090909,4.090909090909091,3.6818181818181817,3.6363636363636362,3.772727272727273,3.8181818181818183,4.090909090909091,0,71,peaceful | happy
080 - Marvin Gaye - I Heard It Through The Grapevine (1968).mp3,4208,douyin3,internet,FALSE,4.285714285714286,4.142857142857143,4.214285714285714,4.214285714285714,4.142857142857143,4.142857142857143,3.857142857142857,4.5,4.357142857142857,4.071428571428571,0,72,sad | passionable
081 - Fats Domino - Blueberry Hill (1956).mp3,9807,douyin9,internet,FALSE,4.118181818181818,4.181818181818182,4.090909090909091,3.9545454545454546,4,4.136363636363637,3.727272727272727,4.181818181818182,4.045454545454546,3.8636363636363638,0,73,peaceful | happy
082 - The Kinks - You Really Got Me (1964).mp3,4209,douyin3,internet,FALSE,3.5,3.2857142857142856,3.7857142857142856,3.357142857142857,3.7857142857142856,3.7142857142857144,3.2857142857142856,4,3.2857142857142856,3.5714285714285716,0,74,passionable
083 - The Beatles - Norwegian Wood (This Bird Has Flown) (1965).mp3,9604,douyin8,internet,FALSE,3.65,3.95,3.65,3.5,3.65,3.55,3.7,3.7,3.65,3.45,0,75,peaceful
084 - The Police - Every Breath You Take (1983).mp3,408,douyin12,internet,FALSE,4.2,4.05,4.15,4.2,4.15,3.8,3.95,4.25,4,4.05,0,76,sad
085 - Patsy Cline - Crazy (1961).mp3,9406,douyin7,internet,FALSE,4.18,4.4,4.4,3.85,4.1,3.6,3.8,4.55,4.55,4,0,77,sad
086 - Bruce Springsteen - Thunder Road (1975).mp3,803,douyin14,internet,FALSE,4.181818181818182,4.2727272727272725,4.363636363636363,4.363636363636363,4.363636363636363,3.9545454545454546,4.318181818181818,4.363636363636363,4,4.318181818181818,0,78,passionable
087 - Johnny Cash - Ring Of Fire (1963).mp3,6410,douyin4,internet,FALSE,4,3.8636363636363638,3.909090909090909,3.8636363636363638,4,3.6363636363636362,3.772727272727273,4.045454545454546,4.136363636363637,3.8181818181818183,0,79,passionable
088 - The Temptations - My Girl (1965).mp3,1006,douyin15,internet,FALSE,4.2727272727272725,4.318181818181818,4.363636363636363,4.318181818181818,4.2727272727272725,4.136363636363637,4.136363636363637,4.5,4.363636363636363,4.318181818181818,0,80,happy
089 - The Mamas & The Papas - California Dreamin' (1965).mp3,8208,douyin5,internet,FALSE,4.199999999999999,4.166666666666667,4.222222222222222,4.111111111111111,4.166666666666667,4,4.055555555555555,4.277777777777778,4.166666666666667,4.055555555555555,0,81,passionable | sad
090 - The Five Satins - In The Still Of The Night (1956).mp3,3,douyin10,internet,FALSE,3.75,3.75,4.1,3.4,3.75,3.45,3.45,4.3,3.95,3.6,0,82,peaceful
091 - Elvis Presley - Suspicious Minds (1969).mp3,604,douyin13,internet,FALSE,4.25,4.35,4.25,4.25,4.25,4.05,4.05,4.5,4.4,4.1,0,83,passionable | sad
092 - The Ramones - Blitzkrieg Bop (1976).mp3,2002,douyin2,internet,FALSE,3.590909090909091,3.590909090909091,3.8636363636363638,3.409090909090909,3.772727272727273,3.8181818181818183,3.3181818181818183,3.9545454545454546,3.3636363636363638,3.3181818181818183,0,84,passionable
094 - Little Richard - Good Golly Miss Molly (1958).mp3,9605,douyin8,internet,FALSE,3.85,3.7,4,3.7,4,4.1,3.6,4.4,4.15,3.95,0,85,happy | passionable
095 - Carl Perkins - Blue Suede Shoes (1956).mp3,1007,douyin15,internet,FALSE,3.8909090909090907,3.8181818181818183,3.909090909090909,3.6818181818181817,4,4.090909090909091,3.772727272727273,4.2727272727272725,3.909090909090909,3.9545454545454546,0,86,passionable | happy
096 - Jerry Lee Lewis - Great Balls Of Fire (1957).mp3,1008,douyin15,internet,FALSE,4.045454545454546,3.909090909090909,4.2272727272727275,3.8181818181818183,4.318181818181818,4.409090909090909,3.909090909090909,4.318181818181818,3.9545454545454546,4.2272727272727275,0,87,passionable | happy
097 - Chuck Berry - Roll Over Beethoven (1956).mp3,8209,douyin5,internet,FALSE,3.95,3.85,3.9,3.95,3.85,4.15,3.95,4.15,4,4.15,0,88,happy | passionable
098 - Al Green - Love And Happiness (1972).mp3,209,douyin11,internet,FALSE,4.045454545454546,3.909090909090909,4.090909090909091,4,4,4.090909090909091,3.6818181818181817,4.090909090909091,4.136363636363637,4.136363636363637,0,89,passionable
099 - Creedence Clearwater Revival - Fortunate Son (1969).mp3,6411,douyin4,internet,FALSE,4.2272727272727275,4.181818181818182,4.2727272727272725,4.181818181818182,4.363636363636363,4.2272727272727275,3.9545454545454546,4.409090909090909,4.136363636363637,4.2727272727272725,0,90,passionable | angry
100 - The Rolling Stones - You Can't Always Get What You Want (1969).mp3,4210,douyin3,internet,FALSE,4,3.857142857142857,4.071428571428571,4,4.214285714285714,4,4.071428571428571,4.214285714285714,4,3.7857142857142856,0,91,peaceful | passionable
1000025_src.mp3,7401,douyin44,muchin,FALSE,3,3.0454545454545454,3.227272727272727,2.8636363636363638,3.0454545454545454,3.0454545454545454,2.9545454545454546,3.5454545454545454,3.590909090909091,2.8636363636363638,0,92,passionable | happy
1000028_src.mp3,5201,douyin34,muchin,FALSE,3.772727272727273,3.772727272727273,4,3.6363636363636362,3.772727272727273,3.6363636363636362,3.272727272727273,4.363636363636363,4.35,3.772727272727273,0,93,happy | passionable
1000058_src.mp3,7001,douyin42,muchin,FALSE,3.1818181818181817,3.1363636363636362,3.272727272727273,3.227272727272727,3.409090909090909,3.3636363636363638,3.090909090909091,3.272727272727273,3.090909090909091,3.090909090909091,0,94,sad | peaceful
1000099_src.mp3,5202,douyin34,muchin,FALSE,3.4545454545454546,3.5,3.227272727272727,3.1818181818181817,3.3181818181818183,3.5,3.272727272727273,3.909090909090909,3.727272727272727,3.272727272727273,0,95,happy | passionable
1000140_src.mp3,8001,douyin47,muchin,FALSE,3.272727272727273,3.0454545454545454,3.3636363636363638,3.272727272727273,3.3636363636363638,3.0454545454545454,3.272727272727273,3.272727272727273,3.3636363636363638,3.272727272727273,0,96,sad
1000167_src.mp3,3601,douyin27,muchin,FALSE,3.9166666666666665,4.041666666666667,3.9583333333333335,3.7083333333333335,3.9166666666666665,3.5416666666666665,3.9583333333333335,4.25,4.041666666666667,3.875,3,97,passionable
1000213_src.mp3,5203,douyin34,muchin,FALSE,3.590909090909091,3.772727272727273,3.8636363636363638,3.3636363636363638,3.4545454545454546,3.3181818181818183,3.3636363636363638,4.136363636363637,4.045454545454546,3.590909090909091,0,98,sad | passionable
101 - Jimi Hendrix - Voodoo Child (Slight Return) (1968).mp3,210,douyin11,internet,FALSE,3.6363636363636362,3.409090909090909,3.909090909090909,3.75,4.15,3.8636363636363638,3.227272727272727,3.9545454545454546,3.6875,3.9545454545454546,0,99,passionable
101030_src.mp3,5801,douyin37,muchin,FALSE,3.7,3.85,4.05,3.25,3.55,3.4,3.65,4.25,4.25,3.35,0,100,passionable
101033_src.mp3,4401,douyin30,muchin,FALSE,3.772727272727273,3.9545454545454546,4.2272727272727275,2.9545454545454546,3.590909090909091,3.727272727272727,3.3181818181818183,4.2727272727272725,3.8636363636363638,3.409090909090909,0,101,passionable
101557_src.mp3,5802,douyin37,muchin,FALSE,3.45,3.4,3.55,3.15,3.35,3.35,3.4,3.55,3.75,3.3,0,102,sad
101559_src.mp3,4601,douyin31,muchin,FALSE,3.090909090909091,3.227272727272727,3.227272727272727,2.772727272727273,3,3.090909090909091,3.1818181818181817,3.409090909090909,3.5,2.772727272727273,0,103,sad
101580_src.mp3,4001,douyin29,muchin,FALSE,3.3181818181818183,3.227272727272727,3.3636363636363638,2.909090909090909,3.227272727272727,3.0454545454545454,3.1818181818181817,3.772727272727273,4.2272727272727275,3.090909090909091,0,104,passionable
101634_src.mp3,4002,douyin29,muchin,FALSE,2.972727272727273,3.0454545454545454,3.1818181818181817,2.772727272727273,3.0454545454545454,3.1818181818181817,3.3181818181818183,3.3636363636363638,2.772727272727273,2.8636363636363638,0,105,sad
101670_src.mp3,8002,douyin47,muchin,FALSE,2.890909090909091,2.727272727272727,3.1363636363636362,2.8636363636363638,3.1818181818181817,2.909090909090909,3.0454545454545454,3.090909090909091,3.227272727272727,2.909090909090909,2.5,106,happy
101671_src.mp3,7402,douyin44,muchin,FALSE,3.1090909090909093,3.090909090909091,3.409090909090909,2.8181818181818183,3.272727272727273,3.227272727272727,3.090909090909091,3.4545454545454546,3.227272727272727,2.909090909090909,3,107,happy
101676_src.mp3,3401,douyin26,muchin,FALSE,3.7083333333333335,3.625,3.7083333333333335,3,3.5,3.5833333333333335,3.5,3.75,3.7916666666666665,3.875,0,108,happy
101695_src.mp3,6601,douyin40,muchin,FALSE,3.55,3.5,3.6,3.5,3.4,3.45,3.25,3.65,3.65,3.65,0,109,sad
101699_src.mp3,6801,douyin41,muchin,FALSE,3.5454545454545454,3.5,3.6818181818181817,3.4545454545454546,3.4545454545454546,3.409090909090909,3.727272727272727,3.6818181818181817,3.5,3.3181818181818183,0,110,sad
101754_src.mp3,4801,douyin32,muchin,FALSE,2.25,2.9,2.45,2.6,2.6,2.6,2.95,3.35,1.85,2.55,0,111,nervous
101791_src.mp3,6802,douyin41,muchin,FALSE,3.5,3.3636363636363638,3.727272727272727,3.409090909090909,3.5454545454545454,3.5,3.409090909090909,3.772727272727273,3.909090909090909,3.4545454545454546,0,112,passionable
101824_src.mp3,7403,douyin44,muchin,FALSE,3.409090909090909,3.3636363636363638,3.590909090909091,3.227272727272727,3.409090909090909,3.4545454545454546,3.3636363636363638,3.5454545454545454,3.4545454545454546,3.3636363636363638,0,113,sad
101843_src.mp3,8003,douyin47,muchin,FALSE,3.227272727272727,3.0454545454545454,3.272727272727273,3.090909090909091,3.272727272727273,3.0454545454545454,3.1818181818181817,3.3636363636363638,3.5,3.1818181818181817,2.5714285714285716,114,sad
101864_src.mp3,7404,douyin44,muchin,FALSE,2.8636363636363638,2.9545454545454546,3,2.8636363636363638,2.772727272727273,3.090909090909091,3,3.227272727272727,3.272727272727273,2.909090909090909,2.95,115,sad | passionable
101891_src.mp3,4802,douyin32,muchin,FALSE,3.59,3.65,3.75,3.4,3.5,3.4,3.4,4,3.75,3.65,3.4285714285714284,116,happy
101902_src.mp3,8004,douyin47,muchin,FALSE,3.3636363636363638,3.272727272727273,3.6818181818181817,3.272727272727273,3.6363636363636362,3.1818181818181817,3.4545454545454546,3.772727272727273,3.6363636363636362,3.4545454545454546,0,117,sad
102 - Gene Vincent - Be-Bop-A-Lula (1956).mp3,9808,douyin9,internet,FALSE,4,3.772727272727273,3.9545454545454546,3.8181818181818183,3.909090909090909,4.090909090909091,3.5454545454545454,4.2727272727272725,4,4,3.8,118,happy | passionable
102020_src.mp3,6602,douyin40,muchin,FALSE,3.5799999999999996,3.45,3.8,3.55,3.9,3.4,3.45,4,3.65,3.6,3.2857142857142856,119,passionable | sad
102197_src.mp3,6603,douyin40,muchin,FALSE,3.4,3.45,3.35,3,3.25,3.35,3.1,3.8,3.7,3.25,0,120,happy | passionable
102226_src.mp3,6604,douyin40,muchin,FALSE,3.9,3.55,4,4,4.1,3.95,3.65,4,3.8,3.85,3.75,121,sad | nervous
